text,trans,type
$noun上限,$1上限,
$noun適正,$1适正,
$ukを習得,$1习得,
フェスユニット編成時、$nounに設定した際の基礎ポジションボーナスを$percent,编入Fes队伍时，设定为$1的情况下基础位置加成$2,
オールラウンダー,全才,
フェスユニット編成時、基礎ポジションボーナスを$percent,编入Fes队伍时，基础位置加成$1,
アピール値最大,Appeal值最大,
審査員の興味,审查员的兴趣,
スロースターター,后发致胜,text
スタートダッシュ,先发致胜,text
人気者,人气之星,text
物静か,沉心静气,text
$nounの$noun$percentDOWN,$1的$2$3DOWN,
除去：$noun,除去：$1,
$noun開始毎に$noun効果1つを$percentの確率で除去,每个$1开始时有$3的概率清除1个$2效果,
注目の的,引人注目,text
$nounを$percent,$1$2,
ひかえめ,默默无闻,text
$noun上限,$1上限,
$nounの上限値$num,$1的上限值$2,
$nounマスター,$1精通,
$noun開始毎に$nounDOWNステータス効果1つを$percentの確率で除去,每个$1开始时有$3的概率清除1个$2DOWN状态,
パーフェクトリィ,无暇,text
すべての$nounを$percent,所有的$1$2,
$noun回復量,$1恢复量,
アピールUP（思い出$uk）,AppealUP（$1回忆值）,
$nameとの絆,与$1的羁绊,
$nounの増加量を$percent,$1的增加量$2,
$nameがユニットにいる場合、$nounを$percentUP,$1处在队伍中时，$2$3UP,
$ukブロックのファン満足度$percent以上,$1区域的粉丝满足度$2以上,
[経過ターンが長いほど効果UP],[经过回合越多效果越好],
[経過ターンが短いほど効果UP],[经过回合越少效果越好],
[$nounが多いほど効果UP],[$1越多效果越好],
[$nounが少ないほど効果UP],[$1越少效果越好],
思い出,回忆,
フェスユニット編成時に$nounボーナスを$percent,编入Fes队伍时$1加成$2,
フェスユニット編成時に全基礎能力へのボーナスを$percent,编入Fes队伍时全部基础能力的加成$1,
Leader,Leader,noun
Center,Center,noun
Dance,Dance,noun
Vocal,Vocal,noun
Visual,Visual,noun
メンタル,Mental,noun
ボーカル,Vocal,noun
ダンス,Dance,noun
ビジュアル,Visual,noun
アピール値,Appeal值,noun
審査員,审查员,noun
注目度,瞩目度,noun
満足度,满足度,noun
興味,兴趣,noun
メランコリー,沮丧,noun
リラックス,松弛,noun
思い出ゲージ,回忆值,noun
アピールフェイズ,Appeal阶段,noun
