text,trans,type
プロデュース開始時に絆＋$num,Produce开始时羁绊＋$1,
一緒に$nounをすると$noun＋$num,一起参加$1时$2＋$3,
一緒に$nounへ出演すると$noun＋$num,一起参加$1时$2＋$3,
一緒に$nounへ出演すると体力$num回復,一起参加$1时恢复$2体力,
一緒に$nounをすると体力$num回復,一起参加$1时恢复$2体力,
一緒に$nounをすると$noun上限＋$num,一起参加$1时$2上限＋$3,
一緒に行動してエクセレントが発生するとエクセレント効果\+$percent,一起行动时如果出现了Excellent则效果额外＋$1,
一緒に行動してエクセレントが発生するとエクセレント効果＋$percent,一起行动时如果出现了Excellent则效果额外＋$1,
行動した場所に自分以外のユニットメンバーがいると1人につき$noun＋$num,一起行动时每有一个自己以外的组合成员$1＋$2,
「約束」を守れなかった場合に$percentの確率でテンションが下がらない,没有遵守约定时有$1的概率偶像心情不会下降,
「休む」を選択時に$percentの確率で体力回復量＋$num,选择休息时有$1的概率使体力恢复量＋$2,
レッスンかお仕事を選択する時に$percentの確率でトラブル率－$num,选择训练或工作时有$1的概率使事故率－$2,
レッスンかお仕事を選択する時に$percentの確率で体力消費量－$percent,选择训练或工作时有$1的概率使消耗的体力－$2,
テンション最高時に一緒に行動すると確率で$noun＋$num,心情最高时一起行动会使$1＋$2,
オーディションで$num位を取ると$noun＋$num,在试镜中取得第$1名时$2＋$3,
アイドルイベントとサポートイベントの発生率$num倍,偶像事件和支援事件发生概率变为$1倍,
スキル発動時に一緒に行動してトラブルが起きなかった場合パーフェクトが発生,技能发动时一起行动并且没有出现事故则必定为Perfect,
スキル発動時に一緒に行動してトラブルが起きなかった場合、行動した場所がレベルアップ,技能发动时一起行动并且没有出现事故，则行动所在场所的等级提升,
体力サポート,体力支援,text
Dance,Dance,noun
Visual,Visual,noun
Vocal,Vocal,noun
Da,Da,noun
Vi,Vi,noun
Vo,Vo,noun
メンタル,Mental,noun
Me,Me,noun
SP,SP,noun
ラジオ,广播收录,noun
トークショー,访谈节目,noun
トークイベント,访谈节目,noun
雑誌の撮影,杂志摄影,noun
ボーカルレッスン,声乐课,noun
ダンスレッスン,舞蹈课,noun
ビジュアルレッスン,形象课,noun
