text,trans,type
イルミネーションスターズ\nのキーホルダー,illumination STARS\n的钥匙链,
アンティーカの\nキーホルダー,L'Antica的钥匙链,
放課後クライマックス\nガールズのキーホルダー,放课后Climax Girls\n的钥匙链,
アルストロメリアの\nキーホルダー,ALSTROEMERIA\n的钥匙链,
ストレイライトの\nキーホルダー,Straylight的钥匙链,
イルミネーションスターズ\nのタオル,illumination STARS\n的毛巾,
放課後クライマックス\nガールズのタオル,放课后Climax Girls\n的毛巾,
アルストロメリアのタオル,ALSTROEMERIA的毛巾,
アルストロメリアに所属しているサポートアイドルの絆が中アップします,ALSTROEMERIA所属Support偶像的绊中幅上升,
イルミネーションスターズのタオル,illumination STARS的毛巾,
イルミネーションスターズに所属しているサポートアイドルの絆が中アップします,illumination STARS所属Support偶像的绊中幅上升,
アンティーカのタオル,L'Antica的毛巾,
アンティーカに所属しているサポートアイドルの絆が中アップします,L'Antica所属Support偶像的绊中幅上升,
放課後クライマックスガールズのタオル,放课后Climax Girls的毛巾,
放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,放课后Climax Girls所属Support偶像的绊中幅上升,
ストレイライトのタオル,Straylight的毛巾,
ストレイライトに所属しているサポートアイドルの絆が中アップします,Straylight所属Support偶像的绊中幅上升,
ヒーリングフルーツタルト,治愈水果挞,
使用時プロデュースアイドルの体力が中回復します,使用时Produce偶像的体力中幅恢复,
流行雑誌,流行杂志,
使用時流行全てをランダムで変更します,使用时流行全部随机变更,
予定変更付箋,预定更改便签,
使用時サポートアイドルの配置をランダムで変更します,使用时Support偶像的分配随机变更,
約束のトワレ,约定淡香水,
プロデュース中の約束発生率を中アップします,Produce过程中约定发生率中幅上升,
SSR確定ガシャチケット,SSR确定抽卡券,
SSR確定ガシャが引けるチケットです,可抽取SSR确定的抽卡券,
SR以上確定ガシャチケット,SR以上确定抽卡券,
SR以上確定ガシャが引けるチケットです,可抽取SR以上确定的抽卡券,
リカバリーソーダ1/2,恢复汽水1/2,
スタミナが最大量の1/2回復します,恢复最大精力值的1/2,
リカバリーソーダ1/4,恢复汽水1/4,
スタミナが最大量の1/4回復します,恢复最大精力值的1/4,
フェスエントリーチケット,Fes入场券,
フェス参加権が回復します,恢复1次Fes参加权,
ゴールドトレーニングチケット,黄金训练券,
プラチナトレーニングチケット,白金训练券,
サポートアイドルのトレーニングに必要なチケットです,Support偶像训练所必需的券,
シルバートレーニングチケット,白银训练券,
ブロンズトレーニングチケット,青铜训练券,
イルミネーションスターズのキーホルダー,illumination STARS的钥匙链,
イルミネーションスターズに所属しているサポートアイドルの絆が小アップします,illumination STARS所属Support偶像的绊小幅上升,
アンティーカのキーホルダー,L'Antica的钥匙链,
アンティーカに所属しているサポートアイドルの絆が小アップします,L'Antica所属Support偶像的绊小幅上升,
放課後クライマックスガールズのキーホルダー,放课后Climax Girls的钥匙链,
放課後クライマックスガールズに所属しているサポートアイドルの絆が小アップします,放课后Climax Girls所属Support偶像的绊小幅上升,
アルストロメリアのキーホルダー,ALSTROEMERIA的钥匙链,
アルストロメリアに所属しているサポートアイドルの絆が小アップします,ALSTROEMERIA所属Support偶像的绊小幅上升,
ストレイライトのキーホルダー,Straylight的钥匙链,
