text,trans,type
$nounUP,$1UP,
消費体力$num,体力消耗$1,
$nounのレベルを$num上昇,$1的等级上升$2级,
リハーサルの流行1位を$nounに変更,彩排的流行1位变更为$1,
本番の流行1位を$nounに変更,正式演出的流行1位变更为$1,
トラブル率$percent,事故概率$1,
パーフェクト発生率増加,Perfect触发率上升,
サポートスキルの発動率が,支援技能发动概率,
全アイドルと七草はづきの絆を$ukUP,全体偶像以及七草叶月的羁绊值$1幅UP,
$noun･$noun･$nounUP,$1･$2･$3UP,
$noun･$nounUP,$1･$2UP,
$noun&$nounノート,$1&$2笔记,
限定スキル[$noun上限$num]を解放,限定技能[$1上限$2]解锁,
ファン人数+$num,粉丝人数+$1,
[条件:$noun],[条件:$1],
[確率:$percent],[概率:$1],
Dance,Dance,noun
Vocal,Vocal,noun
Visual,Visual,noun
ボーカルレッスン,声乐课,noun
ビジュアルレッスン,形象课,noun
ダンスレッスン,舞蹈课,noun
ラジオの収録,广播收录,noun
トークイベントに出演,参加访谈节目,noun
雑誌の撮影,杂志摄影,noun
Voレッスン,Vo课,noun
Daレッスン,Da课,noun
Viレッスン,Vi课,noun
親愛度,亲密度,noun
絆,绊,noun
テンション,心情,noun
ファン数,粉丝数,noun
雑誌,杂志,noun
ラジオ,广播,noun
トーク,访谈,noun
Da,Da,noun
Vo,Vo,noun
Vi,Vi,noun
Me,Me,noun
SP,SP,noun
体力回復,体力恢复,text
体力が中回復,体力中幅恢复,text
テンションが中UP,心情中幅UP,text
親愛度が中UP,亲密度中幅UP,text
体力が大回復,体力大幅恢复,text
テンションが大UP,心情大幅UP,text
親愛度が大UP,亲密度大幅UP,text
体力が特大回復,体力特大恢复,text
テンションが特大UP,心情特大UP,text
親愛度が特大UP,亲密度特大UP,text
親愛度を特大UP,亲密度特大UP,text
体力が小回復,体力小幅恢复,text
テンションが小UP,心情小幅UP,text
親愛度が小UP,亲密度小幅UP,text
リハ流行Vo,彩排流行Vo,text
リハ流行Da,彩排流行Da,text
リハ流行Vi,彩排流行Vi,text
全アイドルと七草はづきの絆UP,全部偶像以及七草叶月的羁绊值UP,text
限定スキル解放,限定技能解锁,text
限定スキルを解放,限定技能解锁,text
