text,trans,type
キーホルダー,钥匙链,item
タオル,毛巾,item
Tシャツ,T恤,item
イルミネーションスターズ,illuminationSTARS,unit
放課後クライマックスガールズ,放课后ClimaxGirls,unit
放課後クライマックスガールズ,放课后ClimaxGirls,unit
アンティーカ,L'Antica,unit
アルストロメリア,ALSTROEMERIA,unit
ストレイライト,Straylight,unit
ノクチル,noctchill,unit
シーズ,SHHis,unit
イルミネ,illumine,unit
放クラ,放课后,unit
283プロ,283Pro,unit
Dance,Dance,noun
Vocal,Vocal,noun
Visual,Visual,noun
スキル,Skill,noun
メンタル,Mental,noun
ボーカル,Vocal,noun
ダンス,Dance,noun
ビジュアル,Visual,noun
親愛度,亲密度,noun
SP,SP,noun
極小アップ,极小幅上升,up
小アップ,小幅上升,up
中アップ,中幅上升,up
大アップ,大幅上升,up
小回復,小幅恢复,restore
中回復,中幅恢复,restore
大回復,大幅恢复,restore
プロデュース,Produce,note
サポート,Support,note
（$note）,（$1）,
イベント第$num話,活动第$1话,
第$num話,第$1话,
イベントED,活动ED,
$unitの$item,$1的$2,
$unit$sepの$sep$item,$1的$2,
【$uk】$name,【$1】$2,
【$uk】\n$name,【$1】\n$2,
$unitに所属しているサポートアイドルの絆が$upします,$1所属Support偶像的绊$2,
ヒーリングフルーツタルト,治愈水果挞,
使用時プロデュースアイドルの体力が$restoreします,使用时Produce偶像的体力$1,
流行雑誌,流行杂志,
予定変更付箋,预定更改便签,
プロデュース中の約束発生率を$upします,Produce过程中约定发生率$1,
リカバリーソーダ,恢复汽水,
使用時プロデュースアイドルのテンションが$upします,使用时Produce偶像的心情$1,
テンションアロマ,心情香薰,
トラブル守り,事故护符,
親愛のお守り,亲密度护符,
$noun基礎知識本,$1基础知识书,
プロデュース開始時に$noun$numします,Produce开始时$1$2,
SSR特訓はづきさん,SSR特训叶月,
SR特訓はづきさん,SR特训叶月,
プチセレクションチケット,小型选择券,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が$upします,Produce开始时队伍内全体Support偶像的绊$1,
$ukアニバーサリーケーキ,$1Anniversary蛋糕,
プロデュース開始時に$unitに所属しているサポートアイドルの絆が$upします,Produce开始时$1所属Support偶像的绊$2,
ヒーリングタルト,治愈蛋挞,
ヒーリングフルーツタルト,治愈水果挞,
高級ヒーリングフルーツタルト,高级治愈水果挞,
高級ヒーリングフルーツ\nタルト,高级治愈水果挞,
プチテンションアロマ,小杯心情香薰,
$noun応用知識本,$1应用知识书,
$noun実践知識本,$1实践知识书,
プロデュース中、シーズン１に限り朝コミュ発生率を$upします,Produce过程中，仅第1季度的晨间对话发生率$1,
