text,trans,type
サポートアイドルをトレーニングしよう,训练Support偶像,text
フェスをプレイしよう,进行1次Fes,text
ブロンズトレーニングチケット,青铜训练券,text
サポートアイドルのトレーニングに必要なチケットです,Support偶像训练所必需的券,text
シルバートレーニングチケット,白银训练券,text
デイリーミッションを全てクリアしよう,完成所有的日常任务,text
ゴールドトレーニングチケット,黄金训练券,text
フェスで勝利しよう,在Fes中取得胜利,text
ウィークリーミッションを全てクリアしよう,完成所有的周常任务,text
フェスアイドルを誕生させよう,培育出Fes偶像,text
フェスに参加しよう,参加Fes,text
プラチナトレーニングチケット,白金训练券,text
営業をしよう,进行营业,text
お手製差し入れ,手工慰劳品,text
プチセレクションチケット,小型选择券,text
集めるとチケット交換で特定のアイドルと交換できるチケットです,收集后可用于在兑换处兑换特定偶像的选择券,text
「プロ根性」：メンタルが極小時にパーフェクトアピールを行う,「Pro根性」：Mental极低时打出Perfect Appeal,text
SR以上確定ガシャチケット,SR以上确定抽卡券,text
SR以上確定ガシャが引けるチケットです,可抽取SR以上确定的抽卡券,text
リカバリーソーダ1/4,恢复汽水1/4,text
スタミナが最大量の1/4回復します,恢复最大精力值的1/4,text
フェスエントリーチケット,Fes入场券,text
リカバリーソーダ1/2,恢复汽水1/2,text
スタミナが最大量の1/2回復します,恢复最大精力值的1/2,text
フェスの極意は、最後まで逆転を諦めないことだ,Fes之秘诀在于，最后身处绝境亦不放弃逆转之希望,text
「その……会話ってどうすれば\n盛り上がるんでしょうか……？」,“那个……对话时要怎么做\n才能让气氛活跃起来呢……？”,text
「コミュニケーションは\n節度を持って、ですよ？」,“沟通也要保持适度\n你说对吧？”,text
初心にかえって研鑽を積み、羽ばたくんだ！,雏鸟亦可积羽成翼、振翅高飞！,text
プロデューサーさん自慢の甘奈を、活躍させてほしいなっ☆,甘奈作为制作人的骄傲，真希望能让她活跃起来呀☆,text
ずっと、ずっと、お傍においてくださいませ……,请一直、一直、陪在我的身边……,text
白い翼を持ったアイドルで、パラダイスを制することができるか？,身披纯白羽翼的雏鸟，也能翱翔于天堂吗？,text
繰り返し限界を超え、絶対に折れない心を手に入れるんだ,千锤百炼造就钢铁之心,text
ねえねえ、プロデューサー！ なんだかトップアイドルになれそうな気がするよー！,呐呐，制作人！有种快要成为顶尖偶像的感觉了呢！,text
限界を超えればまた限界がやってくる。くじけずに歌い続けるのだ,行百里者半九十，一鼓作气唱下去吧！,text
パラダイスを制する……魅惑的な響きだと思わないか？,创造天堂……多么动人心弦的声音，不是吗？,text
「光り輝くアイドルの誕生だ」,“光辉闪耀的偶像诞生了”,text
オーバーキャストモノクローム交換チケット,,text
オーバーキャストモノクロームと交換できるチケットです,,text
ゲームにログインしよう,登录到游戏,text
283くじ,283抽奖券,text
283くじの抽選が受けれるチケットです。,参与283奖券抽选所用的票券,text
W.I.N.G.決勝に進出しよう,进入W.I.N.G.决赛,text
W.I.N.G.を優勝しよう,在W.I.N.G.中取得优胜,text
「伝説の一瞬」：1回のアピールで全ての審査員からラストアピールを獲得する,「传说的一瞬」：一次Appeal从所有审查员处获得Last Appeal,text
「完全掌握」：全ての審査員からトップアピールを獲得する,「完全掌握」：从所有审查员处获得Top Appeal,text
「パーフェクトライブ」：全ての審査員からトップアピールとラストアピールを獲得する,「Perfect Live」：从所有审查员处获得Top Appeal和Last Appeal,text
SR特訓はづきさん（サポート）,SR特训叶月（Support）,text
SRのサポートアイドルを特訓します,用于特训SR Support偶像,text
SR特訓はづきさん（プロデュース）,SR特训叶月（Produce）,text
SRのプロデュースアイドルを特訓します,用于特训SR Produce偶像,text
SSR確定ガシャチケット,SSR确定抽卡券,text
SSR確定ガシャが引けるチケットです,可抽取SSR确定的抽卡券,text
SSR特訓はづきさん（サポート）,SSR特训叶月（Support）,text
SSRのサポートアイドルを特訓します,用于特训SSR Support偶像,text
SSR特訓はづきさん（プロデュース）,SSR特训叶月（Produce）,text
SSRのプロデュースアイドルを特訓します,用于特训SSR Produce偶像,text
【W.I.N.G.編】いずれかのアイドルのTrueEndを見よう,【W.I.N.G.篇】达成任意一名偶像的TrueEnd,text
【W.I.N.G.編】W.I.N.G.決勝に進出しよう,【W.I.N.G.篇】进入W.I.N.G.决赛,text
ファン感謝祭をクリアしよう,通过粉丝感谢祭,text
ファン感謝祭でMVPを1回取ろう,在粉丝感谢祭中取得1次MVP,text
プロデュースを開始しよう,开始Produce,text
トラブルを発生させずにシーズンをクリアしよう,在没有发生挫折的情况下通过这个季度,text
櫻木真乃,樱木真乃,name
風野灯織,风野灯织,name
八宮めぐる,八宫巡,name
月岡恋鐘,月冈恋钟,name
田中摩美々,田中摩美美,name
白瀬咲耶,白濑咲耶,name
三峰結華,三峰结华,name
