text,trans
ミニライブ,迷你Live
TV出演,TV出演
雑誌インタビュー,杂志采访
イルミネーションスターズ,illuminationSTARS
アンティーカ,L'Antica
放課後クライマックスガールズ,放课后ClimaxGirls
アルストロメリア,ALSTROEMERIA
ストレイライト,Straylight
ノクチル,noctchill
シーズ,SHHis
W.I.N.G.編,W.I.N.G.篇
ファン感謝祭編,粉丝感谢祭篇
G.R.A.D.編,G.R.A.D.篇
Landing Point編,Landing Point篇
S.T.E.P.編,S.T.E.P.篇
Vocal\nアピール,Vocal\nAppeal
Dance\nアピール,Dance\nAppeal
Visual\nアピール,Visual\nAppeal
Excellent\nアピール,Excellent\nAppeal
興味無視,无视兴趣
一気に満足\nさせる,直接满足
全観客に\nアピール,对全体观众\nAppeal
メンタルが多い\nほど効果UP,Mental越多\n效果越好
メンタルが少な\nいほど効果UP,Mental越少\n效果越好
思い出ゲージが\n多いほど効果UP,回忆值越高\n效果越好
注目度が高い\nほど効果UP,瞩目度越高\n效果越好
注目度が低い\nほど効果UP,瞩目度越低\n效果越好
所属ユニットが\n多いほど効果UP,同组合的偶像\n越多效果越好
回復回数増加で\n効果UP,恢复次数增加\n效果上升
消去,驱散
アピール倍率\nUP,Appeal倍率\n提升
Vocal UP,
Dance UP,
Visual UP,
Vocal\nDOWN,
Dance\nDOWN,
Visual\nDOWN,
思い出ゲージ\nUP,增加回忆值
思い出ゲージ\nDOWN,减少回忆值
メンタル回復,恢复Mental
自身のメンタ\nルを減らす,减少自身\nMental
リザレクショ\nン効果付与,赋予效果\n复活
リラックス\n効果付与,赋予效果\n松弛
メランコリー\n効果付与,赋予效果\n沮丧
メンタルダメ\nージCUT,减免受到的\nMental伤害
メンタル\nダメージUP,增加受到的\nMental伤害
注目度UP,瞩目度上升
注目度\nDOWN,瞩目度下降
リアクション\n回避率UP,反响回避率\n上升
回避時ステー\nタス効果付与,回避时\n获得状态
ダメージ時ステー\nタス効果付与,受到伤害时\n获得状态
興味UP,兴趣上升
興味DOWN,兴趣下降
興味反転,兴趣逆转
影響力\nDOWN,影响力下降
影響力\nUP,影响力上升
パッシブスキル\n発動率UP,被动技能\n发动概率上升
ダメージを\n受けるまで,受到伤害前\n保持效果
PERFECT\nなら効果UP,PERFECT\n效果上升
必ず最初に\nアピール,Appeal必定\n最先出手
必ず最後に\nアピール,Appeal必定\n最后出手
デュエット,二重奏
ボーカル,Vocal
ダンス,Dance
ビジュアル,Visual
トーク,Talk
アピール,Appeal
トワイライツ\nコレクション,Twilights\n系列
期間限定\nガシャ,限定
通常ガシャ,常驻
各種\nイベント,活动
その他,其它
メンタルUP,Mental UP
テンションUP,心情up
親愛度UP,亲密度UP
Vocal上限UP,
Dance上限UP,
Visual上限UP,
メンタル上限UP,Mental上限UP
SP UP,
ライブスキル,演出技能
パッシブスキル,被动技能
アビリティ,能力
メンタル,Mental
体力回復,体力恢复
Vocal上限,
Dance上限,
Visual上限,
ボーカルマスタリー,声乐课加成
ダンスマスタリー,舞蹈课加成
ビジュアルマスタリー,形象课加成
ラジオマスタリー,广播收录加成
トークマスタリー,访谈节目加成
撮影マスタリー,杂志摄影加成
オーディションマスタリー,试镜加成
テンションマスタリー,心情加成
ユニットマスタリー,组合加成
パーフェクトマスタリー,Perfect加成
エクセレントブースト,Excellent效果上升
施設マスタリー,场所加成
トラブルガード,事故防护
体力サポート,体力支援
約束リカバー,约定恢复
おやすみブースト,休息效果上升
アイドルの絆,偶像的羁绊
イベントブースト,事件触发率上升
