text,trans
うふふっ、どの子も可愛かったけど……\n今回の合格者は──,呵呵，虽然每个人都十分可爱……\n但是这次合格的是──
合格の子、素敵だったわよ\nアタシ、気にいっちゃった。どんどん活躍してってね,合格的偶像，非常棒哦\n我很喜欢。多多活跃吧
おめでとうございます。ランクアップです\nまたひとつ、夢に近づきましたね！,恭喜你！排名上升了。\n向着梦想又靠进了一步！
シーズン終了です。残念ながら目標には届きませんでした\nやはり、壁は厚いですね……,季度结束了。很遗憾没有达成目标\n果然，障碍很大呢……
プロデューサーさん、シーズン１が終了しましたよ\n次のシーズンも一緒に頑張りましょう～,制作人先生，第一季度已经结束了\n下个季度也一起加油吧～
プロデューサーさん、シーズン終了です！\nその見事な手腕、来シーズンも見せてくださいね！,制作人先生，本季度结束了！\n这出色的工作能力，下季度也让我见识见识吧！
今日は休みにしようか\n疲れを取って、また頑張ろう,今天就休息一下吧\n缓解疲劳，然后继续努力
それでは発表します\n今回の合格者は──,那么接下来发表\n这次合格的人是──
合格者の方、おめでとうございます！\n本番まで、しばらくお待ちください,恭喜各位合格者！\n在正式演出之前，请稍事等待
う～ん、みんなビシッとキマってたが\n今回合格したのは──,唔，虽然大家都表现得很出色\n但是这次合格的是──
合格した人、おめでとう！\nよかったよ。本番もその調子でやっちゃって！,祝贺合格的各位！\n做的不错。正式演出也请保持优异表现吧！
お待たせしました。審査が終了しましたので、\n『W.I.N.G.』準決勝の結果発表をさせていただきます,各位久等了。审查结束了，\n接下来发表“W.I.N.G.”准决赛的结果
準決勝合格者の皆さま、おめでとうございます\n次は決勝です。ぜひ、今までで最高の姿を見せてください,准决赛合格的各位，恭喜你们\n接下来是决赛。请务必展现出迄今为止最棒的表现吧
次はぁ、ちょっとだけ本気だしちゃいますねー,接下来，稍微认真一点吧
お待たせしました。審査が出そろいましたので、\n『W.I.N.G.』決勝の結果発表をさせていただきます,各位久等了。审查结果出了，\n接下来发表“W.I.N.G.”决赛的结果
優勝者の方、おめでとうございます\nその他の方々は惜しくも敗退です。お疲れさまでした,恭喜优胜者\n其余各位很可惜没能取胜。大家都辛苦了
もう少し真面目にレッスンすればよかったです……,要是之前再稍微认真练习一下就好了……
プロデュースお疲れ様でした\nこの後は、フェスへ参加してみましょう！,制作人辛苦了\n那么等一下试试参加Fes吧！
プロデューサーさん、シーズン２が終了しましたよ\nみなさんと一緒に、リハーサルも頑張ってくださいね～,制片人先生，第2季度已经结束了\n接下来也请同大家一起加油排练吧～
合格の子、素敵だったわよ\nアタシ、気にいっちゃった。どんどん活躍してってね,合格的孩子，表现得真不错呀\n我很中意你。
合格者、おめでとう\nああ、他の子たちはもう帰っていいわよ,合格者，恭喜你\n哦，其他选手已经可以回去了
合格の人、おめでとう！\n他の子たちは、帰っていいよ。おつかれー,合格的人，恭喜你！\n其他人可以回去了。辛苦了ー
合格者の方、おめでとうございます\nそれ以外の方、お疲れさまでした,合格的那位，恭喜你\n其他的孩子，辛苦你们了
準決勝合格者の皆さま、おめでとうございます\n今、呼ばれなかった方は、ここで脱落となります,准决赛合格的各位，恭喜你们\n刚才，没有被叫到名字的，在这里被淘汰了
やりましたね。白熱した戦いでした\n特に彼女のパフォーマンスは圧巻でしたよ！,
優勝者の方、おめでとうございます！\n皆さんに姿を見せてください。ここがアイドルの頂点です！,获胜的孩子，恭喜你！\n给大家展示你的英姿吧。这里就是偶像的顶点！
『W.I.N.G.』優勝です。おめでとうございます！\nプロデューサーさんなら成し遂げるって信じていましたよ！,“W.I.N.G.”优胜了。恭喜！\n我一直相信着制作人肯定能做到的！
それから今週は……\nもうひとつ、大事なお知らせがあるんです,然后这周啊……\n还有，一个重要的通知
本当に残念ですが、先程、連絡があり、\n「W.I.N.G.」への参加はできないと伝えられました,真的很遗憾，刚才得到了通知，\n无法参加“W.I.N.G.”
なんと……「W.I.N.G.」出場が決まりました\nやりましたね。プロデューサーさん！,居然……确定要参加“W.I.N.G.”了\n你做到了呢。制作人！
やりましたね。白熱した戦いでした\n特に彼女のパフォーマンスは圧巻でしたよ！,做到了呢。真是一场白热化的比拼\n她的表演尤其精彩呀！
……さすがに、強豪ぞろいでしたね\n『W.I.N.G.』、本当にお疲れ様でした,……不愧是豪强云集啊\n“W.I.N.G.”，真是辛苦了

#GRAD,
お待たせしました。審査結果を発表いたします\n『G.R.A.D.』予選を通過したのは……！？,久等了。现在公布审查结果\n通过“G.R.A.D.”预选的是……！？
予選通過の皆さま、おめでとうございます！\n本選でもその魅力を発揮してください！,通过预选的各位，恭喜你们！\n正式评选也请发挥出那份魅力吧！
