text,trans,type
サポートアイドルをトレーニングしよう,训练Support偶像,text
フェスをプレイしよう,进行1次Fes,text
マニーショップで買い物をしよう,在金币商店进行一次购物,text
マニーショップで販売しているアイテムをどれか一つ買ってみよう,购买一件金币商店出售的物品,text
デイリーミッションを全てクリアしよう,完成所有的日常任务,text
フェスで勝利しよう,在Fes中取得胜利,text
ウィークリーミッションを全てクリアしよう,完成所有的周常任务,text
フェスアイドルを誕生させよう,培育出Fes偶像,
フェスに参加しよう,参加Fes,text
営業をしよう,进行营业,text
スーパーアイドル,超级偶像,text
トップアイドル,顶级偶像,text
メジャーアイドル,主流偶像,text
一人前のアイドル,成熟偶像,text
「プロ根性」：メンタルが極小時にパーフェクトアピールを行う,「Pro根性」：Mental极低时打出Perfect Appeal,text
フェスの極意は、最後まで逆転を諦めないことだ,Fes之秘诀在于，最后身处绝境亦不放弃逆转之希望,text
「その……会話ってどうすれば\n盛り上がるんでしょうか……？」,“那个……对话时要怎么做\n才能让气氛活跃起来呢……？”,text
「コミュニケーションは\n節度を持って、ですよ？」,“沟通也要保持适度\n你说对吧？”,text
初心にかえって研鑽を積み、羽ばたくんだ！,雏鸟亦可积羽成翼、振翅高飞！,text
プロデューサーさん自慢の甘奈を、活躍させてほしいなっ☆,甘奈作为制作人的骄傲，真希望能让她活跃起来呀☆,text
ずっと、ずっと、お傍においてくださいませ……,请一直、一直、陪在我的身边……,text
白い翼を持ったアイドルで、パラダイスを制することができるか？,身披纯白羽翼的雏鸟，也能翱翔于天堂吗？,text
繰り返し限界を超え、絶対に折れない心を手に入れるんだ,千锤百炼造就钢铁之心,text
ねえねえ、プロデューサー！ なんだかトップアイドルになれそうな気がするよー！,呐呐，制作人！有种快要成为顶尖偶像的感觉了呢！,text
限界を超えればまた限界がやってくる。くじけずに歌い続けるのだ,行百里者半九十，一鼓作气唱下去吧！,text
パラダイスを制する……魅惑的な響きだと思わないか？,创造天堂……多么动人心弦的声音，不是吗？,text
「光り輝くアイドルの誕生だ」,“光辉闪耀的偶像诞生了”,text
オーバーキャストモノクローム交換チケット,,text
オーバーキャストモノクロームと交換できるチケットです,,text
W.I.N.G.決勝に進出しよう,进入W.I.N.G.决赛,text
「伝説の一瞬」：1回のアピールで全ての審査員からラストアピールを獲得する,「传说的一瞬」：一次Appeal从所有审查员处获得Last Appeal,text
「完全掌握」：全ての審査員からトップアピールを獲得する,「完全掌握」：从所有审查员处获得Top Appeal,text
「パーフェクトライブ」：全ての審査員からトップアピールとラストアピールを獲得する,「Perfect Live」：从所有审查员处获得Top Appeal和Last Appeal,text
【W.I.N.G.編】いずれかのアイドルのTrueEndを見よう,【W.I.N.G.篇】达成任意一名偶像的TrueEnd,text
【W.I.N.G.編】W.I.N.G.決勝に進出しよう,【W.I.N.G.篇】进入W.I.N.G.决赛,text
【W.I.N.G.編】W.I.N.G.準決勝に進出しよう,【W.I.N.G.篇】进入W.I.N.G.准决赛,text
ファン感謝祭をクリアしよう,通过粉丝感谢祭,text
ファン感謝祭でMVPを1回取ろう,在粉丝感谢祭中取得1次MVP,text
プロデュースを開始しよう,开始Produce,
トラブルを発生させずにシーズンをクリアしよう,在没有发生事故的情况下通过这个季度,text
フェスリハーサルに参加しよう,参加Fes彩排,text
プロフィールで誕生日を設定しよう！,在个人简介里设定生日！,text
メンタル上限アップのスキルを1つ習得をしよう,学习一个Mental上限提升技能,text
初心者ミッションを全てクリアする,完成所有新手任务,text
WINGミッションを全てクリアする,完成所有WING任务,text
True研修を全てクリアする,完成所有的True研修,text
シナリオイベントやアイドルコミュを読んでPレベルを上げましょう,通过阅读剧情及偶像对话提升P等级,text
グレードフェスでトップアイドルを目指しましょう,目标是成为排位Fes的顶级偶像,text
フェスツアーズ,FesTours,text
GRAD優勝,GRAD优胜,text
感謝祭MVP,感谢祭MVP,text
WING優勝,WING优胜,text
WINGミッション,WING任务,text
初心者ミッション,新手任务,text
フェス,Fes,noun
フェスリハーサル,Fes彩排,noun
グレードフェス,排位Fes,noun
リンクアピール,Link Appeal,noun
パーフェクト,Perfect,noun
がっちりアピール,Top + Last Appeal,noun
トップアピール,Top Appeal,noun
ラストアピール,Last Appeal,noun
思い出アピール,回忆Appeal,noun
プロ根性,Pro根性,noun
Easy,Easy,rank
NORMAL,NORMAL,rank
HARD,HARD,rank
VERYHARD,VERYHARD,rank
Extreme,Extreme,rank
審査員,审查员,noun
イルミネーションスターズ,illuminationSTARS,unit
放課後クライマックスガールズ,放课后ClimaxGirls,unit
放課後クライマックスガールズ,放课后ClimaxGirls,unit
アンティーカ,L'Antica,unit
アルストロメリア,ALSTROEMERIA,unit
ストレイライト,Straylight,unit
ノクチル,noctchill,unit
シーズ,SHHis,unit
