ja,zh
#Produce开始,
（２８３プロダクションに入社して数か月……\nいよいよ俺が、アイドルをプロデュースする時が来た）,（自进入283 Production以来已经过去了数月……\n总算是要到我亲自培育偶像的时候了）
（ずっと憧れていた仕事をようやく任されたんだ、\nこれから精一杯頑張るぞ！）,（终于能做我梦寐以求的工作了\n从今天起要打起精神好好努力！）
おはようございます！\nって、天井社長……？,早上好！\n咦，天井社长……？
おはよう、お前を待っていたぞ,早上好\n我正等着你呢
（この２８３プロダクションを束ねる\n天井社長……あいかわらずダンディな雰囲気だ）,（这就是统领着整个283 Production的天井社长……\n依然给人一种成熟的感觉）
お前には今日から、アイドルを\nプロデュースしてもらうと伝えていたが……,就像之前通知过的那样\n从今天开始你就要负责培育偶像了
素晴らしい結果を期待させてもらう\n私は甘くないぞ,就让我期待你能给出个出色的结果吧\n我可是很严格的
は、はい！　よろしくお願いします！,是，是！　我一定努力工作！
よろしい。では、仕事の説明ははづきに任せて……,这就对了，那么\n首先具体的工作内容就交给叶月来说明……
？　はづきさんはどこにも……あっ！？,？　叶月不在这里啊……啊！？
（そ、ソファの裏で誰かが倒れてる！？）,（有、有人倒在沙发后面！）
……ふわぁ～？\nなんですか～急に大きな声出して～……,（呼哇……\n出什么事了〜怎么突然这么吵闹～……）
は、はづき……なぜ床で寝ているんだ,叶、叶月……你怎么睡在地上了！
すみません、ソファへ着く前に\n眠気に負けてしまいまして～……,对不起……我还没坐到沙发上\n就输给了困意……
せっかくまじめな雰囲気を出したというのに……,我好不容易才营造出严肃的氛围……
……ともかく！\n彼に仕事の説明をしてくれ,总而言之！\n快给他说明一下工作内容吧
はい、もちろんです\nプロデューサーさん、どうぞ～,当然没问题了\n制作人，请先收下这些
ありがとうございます\n……あいかわらず、わかりやすくまとまってますね、資料,真是太感谢了\n还是一如既往，资料整理得非常简单易懂呢
（はづきさん、こういうところは頼れるんだよな……）,（叶月在这种地方倒是很靠得住……）
ありがとうございます\nそれじゃあ、さっそくお仕事の説明に入りますね～,多谢夸奖\n那么就让我来说明工作内容吧～
まず、今回のプロデュースの目標についてですが……,首先，关于这次培育偶像的目标……
ワンダーアイドルノヴァ・グランプリ……\n通称『W.I.N.G.』への出場を目指してください,就是参加Wonder Idol Nova Grand Prix……\n也就是通称的“W.I.N.G”
『W.I.N.G.』……ですか,W.I.N.G……吗
はい\n新人アイドルの祭典とも言われる、すごいライブなんです,没错，这可是被称之为\n新人偶像祭典的，非常盛大的演唱会哦
祭典と言われるだけあって、この『W.I.N.G.』は\n出場資格を手に入れるまでが厳しいんです……,既然被称为祭典\n所以取得W.I.N.G的入场资格是很难的……
エントリーしたアイドルは開催前まで、\n全４回のシーズンごとに審査を受けます,入围的偶像在W.I.N.G开始前\n要接受四个季度的审查
その時、一定のランクに達していないと、\n出場資格を失ってしまうんです,那个时候，如果达不到一定的等级，\n就会失去入场资格
ですので、精一杯頑張っていきましょ～！\n私もたくさんサポートさせていただきますね～,所以请多多努力吧～！\n我也会尽全力帮助你的～
……少しアドバイスをしておくが、\nお前は、２８３プロダクションのプロデューサーだ,……给你点建议\n你现在可是283 Production的制作人了
担当アイドルと他のアイドルたちを\n交流させることも重要になってくる,让你负责的偶像与其他偶像多多交流\n这也一件很重要的事
互いに影響しあうことで目指せる高みもあるだろう,偶像们互相影响也能达到更高的境界吧
まあ、まずは思うようにやってみるといい\n結果がついてくるかは、お前とアイドルの頑張り次第だ,总之你就先按自己的想法来吧\n至于结果，那就完全取决于你和偶像的努力程度了
では、そろそろお仕事に移ってもらいましょうか\n今回プロデュースするアイドルは──,那么，差不多就可以开始工作了吧\n这次培育的偶像是——
#wing决赛胜出,
プロデューサーさん！\n『W.I.N.G.』優勝、本当におめでとうございます！,制作人！\n恭喜你的担当偶像在“W.I.N.G.”胜出！
私も会場で見てたんですけど、\n発表の瞬間、思わず大声を出しちゃいましたよ！,我当时也在会场观看\n公布结果的时候，想都没想就大声叫出来了！
今もまだ興奮しちゃってて、\n今日はもう眠れそうにありません！,直到现在我都很兴奋，今天晚上肯定睡不着了！
ありがとうございます、はづきさん！,太谢谢了，叶月！
本当によくやった\n期待以上の結果を出してくれたな,你真的做的很不错，做出了我期待以上的结果。
社長も……ありがとうございます！,社长……也太谢谢您了！
ふふ。私と社長も会場に来てましたけど、\nすごかったですよ,呵呵，我和社长都去了会场，真的非常厉害
優勝したってわかった瞬間、社長が泣いてしまって……\nステージをほとんど見れていませんでしたから,夺得优胜的一瞬间，社长都哭了出来……\n连舞台都顾不得看了
こ、こら！\n彼の前でそういうことを言うな！,喂、喂！别在他前面说这些丢人事！
それだけ優勝したのを\n喜んでたってことじゃないですか,这不正代表您看到优胜有多高兴嘛！
そ、それはそうだが……,那、那倒是没错……
社長、本当にありがとうございます！,社长，真的太谢谢你了！
……とにかく。もっと礼を言うべき相手、\nいや、祝うべき相手がいるんじゃないか,……总之，要感谢的人，不对\n要祝贺的人，除了我们还有别人吧
……そうですね\n今日の主役は、他でもない彼女ですから,……是啊，今天的主角，除了她没有别人了
なら、私たちのことは気にせず\n早く行ってこい,那就不用在意我们了，快点去吧
彼女のこと、いっぱい\n褒めてあげてくださいねー！,要好好夸奖她啊——！
はい！　もちろんです！,嗯！　那是当然了！
#季度1失败,
結果は聞いた\n……ここまでだったようだな,我听到结果了\n……看来到这里就结束了
……はい。目標には、届きませんでした,……是。我没能达成目标
『W.I.N.G.』はあらゆるアイドルが\n憧れるステージですからね,“W.I.N.G.”毕竟是所有偶像都憧憬的舞台
道はとっても険しかった、\nということなのでしょう……,只能说这个路途太艰难了吧……
結果を出せず、申し訳ありませんでした……,非常抱歉，我什么成果都没做出来……
……私たちに謝っている場合じゃない\n彼女が、お前を待っているだろう？,……现在不是向我们道歉的时候\n她还等着你呢吧？
つらいだろうが、これもプロデューサーの仕事だ,我知道肯定不容易，但这也是制作人的工作
……行ってきます,……那我去了
#季度2失败,
残念ですね……。一次審査を突破できたんですし、\nこの調子で、と思ったんですけど,真是遗憾……都已经通过了第一次审查，\n还以为趁这个势头可以继续下去
現実は、なかなか厳しいですね……,但现实真的很残酷……
しかし、新人アイドルと新人プロデューサーにしては、\n悪くない結果だった,但是对于新人偶像和新人制作人来说，\n这个结果也不算太坏
でも、まだまだ先にも行けたと思うんです\n俺にもっと力があれば……！,但是，应该还可以走得更远的\n要是我能更强一点的话……！
評価はしているが、弱音を聞きたいわけではないぞ,虽然我给予你一定的评价，但可不算听你说这些丧气话
力が足りないのなら、彼女とともに\nこれから成長していけばいいだけのことだ,要是能力不足的话，那就和她一起\n今后继续成长就好了
……そうですね\n彼女に、会いに行ってきます,……您说的是\n我去见见她
ああ、行ってこい,嗯，去吧
#季度3失败,
やはりここまで来ると、\n乗り越えるべき壁も高かったな……,果然到了这一步，\n需要跨越的屏障也越来越高吗
結果は残念でしたけど……\nおふたりは立派にやってましたよ！,虽然结果很遗憾……\n但是两人都干得十分出色哦！
ここまで来れただけでも、\n胸を張って誇れることだと私は思います,光是能走到这一步，\n我觉得你就可以挺起胸膛了
ああ、良い活躍だった\nそれはたしかだ,没错，干得不错
……俺もそう思います\n彼女はよくやってくれました,……我也是这么认为的。\n她做得很好
その言葉を、彼女に直接\n言ってあげましょう？,这句话\n不如直接告诉她吧？
……はい,……好
#季度4失败,
そうですか……参加はできませんでしたか,是么……没能获得参加资格啊
……不参加って連絡が来たとき、\n聞き間違いかと思いました,……当通知我无法参加的时候，\n我还以为自己听错了
私には、どうして彼女が参加できないのか\nちっともわかりません……！,我完全无法理解……！\n为什么她不能参加啊
その気持ちはわかるが……これが結果なんだ\n受け入れるより他にあるまい,我明白你的心情……但是这就是最终结果\n我们也只能接受了
……私、きっとあの子のファンだったんですね\nだからこの結果が、悔しくてたまらないんです……,……我一定是那个孩子的粉丝吧\n所以才会因为这个结果而懊恼……
俺もです。彼女のプロデューサーである俺自身が、\n誰よりも彼女のファンでしたから,我也一样。作为她的制作人，\n我可是她的头号粉丝啊
……社長\n俺、彼女に会いに行ってきます,……社长\n我要去见她
ああ、そうするといい,嗯，那就去吧
#决赛失败,
お前、担当アイドルのことをどう思っている？,你觉得自己负责的偶像怎么样？
……たしかに負けてしまいましたけど、\n彼女こそが最高のアイドルだと思っています,……虽然输了\n但是她才是我心目中最棒的偶像
……！　そうか……,……！　是么……
ふふ\n社長が聞きたかった言葉、そのまま出てきましたね,呵呵\n完全说出了社长想听的话呢
もし違う言葉が出てきたら、\n説教してやるって言って聞かなかったのに,要是你说了别的话\n他可是坚持要教训你一顿呢
……うるさいぞ。とにかく、\nそういうことなら私から言うことはない,……就你话多。总之，\n既然是这样的话我也没什么好说的了
さあ、早くその最高のアイドルに\n会いに行ってこい,好了，快点去见你的\n最棒的偶像吧
#对话,
（よし、楽しく話せたな）,（很好，聊得很开心）
（まぁ、普通に話せたかな）,（嗯，聊得还行吧）
（うっ……しまった。別のことを言えば良かったな……）,（唔……糟了。早知道就聊点别的了……）
