id,nameKana,unit,starSign,place,hobby,specialty,characterVoice
label,名字|组合|年龄|血型|生日|星座|身高|体重|三围|惯用手|出生地|兴趣|特长|CV.,,,,,,
1,Sakuragi Mano,illuminationSTARS,金牛座,东京,出门，在公园晒太阳,被鸟类喜欢,关根 瞳
2,Kazano Hiori,illuminationSTARS,双鱼座,东京,音乐鉴赏，寻找美丽的景色，占卜,料理，日程管理,近藤 玲奈
3,Hachimiya Meguru,illuminationSTARS,巨蟹座,美国 马萨诸塞州,与人交谈，活动身体,所有体育运动,峰田 茉优
4,Tsukioka Kogane,L'Antica,双鱼座,长崎,我做的料理，不管哪样都是绝品！,能画出非常像的肖像画！,礒部 花凜
5,Tanaka Mamimi,L'Antica,双子座,神奈川,流浪，捉弄人,自己剪头发,菅沼 千纱
6,Shirase Sakuya,L'Antica,巨蟹座,高知,去各种各样的地方,尽显自己帅气的举止,八卷 安奈
7,Mitsumine Yuika,L'Antica,摩羯座,福岛,鉴赏偶像演唱会，相机，游戏，动画，读书,学习，让推的偶像很快认识自己,希水 汐
8,Yukoku Kiriko,L'Antica,天秤座,青森,收集各种可爱的东西，手工艺，献血,漂亮地缠好绷带，走路不发出脚步声，削苹果皮,结名 美月
9,Komiya Kaho,放课后Climax Girls,狮子座,东京,看星期天早上播出的儿童节目，收集周边,记得很多喜爱节目里的名台词,河野 日和
10,Sonoda Chiyoko,放课后Climax Girls,双鱼座,千叶,巡游甜品店,能吃很多,白石 晴香
11,Saijo Juri,放课后Climax Girls,射手座,神奈川,西洋音乐，游戏,所有体育运动，（到初二为止）篮球,永井 真里子
12,Morino Rinze,放课后Climax Girls,天秤座,鸟取,少女漫画，所有艺道,折纸，百人一首,丸冈 和佳奈
13,Arisugawa Natsuha,放课后Climax Girls,狮子座,爱知,锻炼，拉伸,整体服饰搭配,凉本 秋穗
14,Osaki Amana,ALSTROEMERIA,摩羯座,富山,购物，美甲，自拍,早起，节俭,黑木 穗乃香
15,Osaki Tenka,ALSTROEMERIA,摩羯座,富山,午睡，上网，动画，游戏,没有什么特长,前川 凉子
16,Kuwayama Chiyuki,ALSTROEMERIA,白羊座,山口,制作杂货,裁缝，做向导,芝崎 典子
17,Serizawa Asahi,Straylight,摩羯座,东京,观察人类，找人搭话,记忆力很好,田中 有纪
18,Mayuzumi Fuyuko,Straylight,射手座,茨城,和朋友聊天♪,和大家处好关系♪,幸村 惠理
19,Izumi Mei,Straylight,狮子座,琦玉,和朋友玩，听最近出的歌,能打几个小时电话,北原 沙弥香
20,Asakura Toru,noctchill,金牛座,东京,看电影、电视剧,记住别人的容貌,和久井 优
21,Higuchi Madoka,noctchill,天蝎座,东京,没有什么兴趣,没有什么特长,土屋 李央
22,Fukumaru Koito,noctchill,天蝎座,东京,读书,学习,田岛 纱兰
23,Ichikawa Hinana,noctchill,双鱼座,神奈川,不管什么都挺喜欢～,不管什么都挺擅长～,冈咲 美保
24,Nanakusa Nichika,SHHis,狮子座,埼玉,音乐鉴赏,家务,紫月 杏朱彩
25,Aketa Mikoto,SHHis,处女座,北海道,作词作曲,编舞,山根 绮
