id,name,text,trans,__parsed_extra
3001007010010,めぐる,見て見て、真乃、灯織！,来看来看，真乃，灯织！,真乃，灯织！
3001007010011,めぐる,じゃーん、ヒゲだよー！,锵锵，是胡子！,
3001007010020,真乃,ほわ、めぐるちゃん……それ、とってもいいねっ\n……私もつけてみようかな,呼哇，巡……那个胡子，看上去很不错呢\n……我也想试试,
3001007010030,灯織,つけヒゲ……\n良くできてる……,假胡子……\n做的好精细……,
3001007010040,めぐる,灯織もヒゲ、つけてみる！？,灯织也要试试吗！？,
3001007010050,灯織,えっ、わ、私は大丈夫……！\nどんな感じなのか、見てただけだから──,欸、我，我就不用了……！\n我只是在想，戴上后会是怎样——,
3001007010060,真乃,ふふっ\n３人でサンタさんみたいになるのもいいねっ,呼呼\n三人一起来扮圣诞老人也挺好的,
3001007010070,めぐる,じゃあじゃあ！\nパーティーで一緒につけよっか！,那么那么！\n大家就在派对上一起带上胡子吧！,
3001007010080,灯織,ちょ、ちょっと待って……！\n必要なものを買うのが先でしょ,等，等下……！\n我们应该先把必需品买了吧,
3001007010090,真乃,あっ……灯織ちゃん、めぐるちゃん\nあれ……,啊……灯织，巡\n那个……,
3001007010100,めぐる,わぁっ！　すっごい大きいクラッカー！\nパーティーの始まりにはやっぱりクラッカーだよねっ,哇！ 好大的拉炮！\n果然派对的开场少不了拉炮吧,
3001007010110,灯織,確かに、必要だと思うけど……\nこれはちょっと大きすぎる──,虽然，我也觉得是必要的……\n但这个稍微大过头了——,
3001007010120,めぐる,あーっ！　こっちにはたこ焼き器もある！,啊——！ 这边还有章鱼烧烤盘,
3001007010130,灯織,……もう、めぐる,……真是，巡,
3001007010140,灯織,でも、パーティーグッズコーナーに\nこんなの売ってるんだ,不过，这边的派对商品区\n连这种东西都有卖啊,
3001007010150,めぐる,たこ焼きパーティーとかできちゃいそうだよねっ\n灯織も興味あるっ！？,也能用来举办章鱼烧派对什么的\n灯织也对这个有兴趣吗!?,
3001007010160,灯織,べつに、私は──\nないわけじゃ……ないけど……,没什么，我——\n虽然也不是……不感兴趣……,
3001007010170,めぐる,えへへっ\nねぇねぇ、真乃はどう！？,欸嘿嘿\n真乃觉得怎样？！,
3001007010180,真乃,……え？\nあっ、ご、ごめんねっ,……欸？\n啊、对，对不起,
3001007010190,めぐる,真乃……？,真乃……？,
3001007010200,めぐる,ごめん、ちょっとはしゃぎすぎちゃったかな？,对不起，我有点吵闹过头了吗？,
3001007010210,めぐる,あ、そうだ！\n買い物終わったら、フードコートとかで休んでいく？,啊、对了！\n买完东西后，去小吃街什么的地方休息下吧？,
3001007010220,真乃,あっ、ううん、そうじゃないんだっ\n……ちょっと、考え事をしちゃって……,啊、不是，不是那个意思\n……稍微，在思考一些事情……,
3001007010230,灯織,考え事……？,思考事情……？,
3001007010240,真乃,う、うん……,嗯、嗯……,
3001007010250,真乃,……,……,
3001007010251,灯織＆めぐる,……,……,
3001007010260,真乃,えっと……\nあのね──,那个……\n就是——,
3001007010270,真乃,プロデューサーさんから、\nパーティーで乾杯をしてほしいってお願いされたんだ,制作人先生，\n邀大家在派对上一齐举杯同饮,
3001007010280,真乃,その時に一言、挨拶もしてほしいって言われて……,届时，希望由我来念开场白……,
3001007010290,真乃,みんなの前で挨拶をするって\nどうしたらいいのかな、とか……,要我在大家的面前念开场白\n该怎么办好呢……,什么的……
3001007010300,真乃,私がそんな大事な係をしていいのかな、とか……\n色々考えちゃって,将这么重要的事交给我真的可以吗，之类的……\n不禁想了很多,
3001007010310,灯織,真乃……,真乃……,
3001007010320,めぐる,──いいに決まってるよっ,——当然可以啊,
3001007010330,めぐる,だって、きっと真乃がいっぱい頑張ってるから、\n挨拶の係お願いされたんだよ！,想必这是真乃努力的结果\n才会拜托真乃来念开场白,\开场的任务就拜托了！
3001007010340,灯織,うん……\n私も、そう思う,嗯……\n我也，这么觉得,
3001007010350,灯織,一緒にいる私たちだから……わかるよ,正是因为我们一直在真乃身边……所以才明白,
3001007010360,灯織,真乃はたくさん頑張っていて──\n真乃を見てると、私も……！　って気持ちになる,真乃实在是太努力了——\n看着看着，我也被感染了……！,
3001007010370,灯織,真乃には──……\nまわりの人を励ます力があると思うんだ。だから──,真乃有着——……\n鼓动周围的力量。所以——,
3001007010380,真乃,そんな……\nそう言ってもらえるのは、すっごく嬉しいけど……,怎么会……\n虽然很高兴，能听到你们这么说……,
3001007010390,真乃,でも──それは、ふたりも一緒だよ……？\nレッスンやお仕事……いっぱい頑張ってる,但是——说到努力，你们俩也是一样的啊……？\n练习和工作……都相当努力了,
