id,name,text,trans
0000000000000,プロデューサー,結華、これ……\nよかったらお茶の時間にでも食べてくれ,结华，给你……\n可以的话喝茶的时候配着吃吃看吧
4901900140010,結華,え、なになに？,诶，什么什么？
4901900140020,結華,……わ、カヌレだ！\n美味しそう……！,……哇，是可露丽！\n看起来好好吃……！
0000000000000,プロデューサー,営業先でおすすめのお店を聞いたんだ,先前外出营业的时候不是问了你推荐的店铺
4901900140030,結華,そうなんだ……！\nありがとうプロデューサー、でもなんで急に──,原来是这样……！\n谢谢你Producer，不过为什么这么突然——
4901900140040,結華,あっ\nなるほど、ホワイトデーってこと？,啊\n原来如此，是因为白色情人节？
0000000000000,プロデューサー,正解\n改めてバレンタインのときはありがとうな,没错\n再次感谢你情人节那时候的送礼
4901900140050,結華,あはは、\n貰った側なのにまたお礼言われちゃった,啊哈哈\n明明你是送礼的那方，却还在道谢
4901900140060,結華,それじゃあこっちも改めて――,那样的话这边也再度感谢——
4901900140070,結華,――プレゼントありがとう、プロデューサー\n美味しくいただきます！,——谢谢你的礼物啦，Producer\n会好好享用的！
info,special_communications/490190014.json,,
译者,,,
