id,name,text,trans
4001039050010,真乃,『──時々私は』,“有时我会”
4001039050020,真乃,『あの人が、長く影の伸びる夏の午後の庭に\nひとり佇んでいる姿を目にした』,“凝视着她独自伫立的身影\n在夏天午后的庭院里她的影子被长长地拉伸”
4001039050030,霧子,『滅多に家の外に出ることはなく』,“她很少出门”
4001039050040,智代子,『店に立つ時はいつでも黒いヴェールが目元を覆い\n同じ色のドレスが、明けることのない喪をしるしていた』,“待在店里的时候总是用黑色的面纱遮住眼睛\n同色的连衣裙显示着她的服丧期还未满”
4001039050050,真乃,────あ……,——啊……
4001039050060,真乃,『渡り鳥たちが短い夏を楽しみ、草木が風と戯れ、\n花と果実が光の祝福を浴びているその庭で』,“候鸟享受着短暂的夏天，草木和风嬉戏\n花果沐浴着阳光的祝福，在这样的庭院中”
4001039050070,霧子,『彼女だけが色を持たず、声を持たず』,“只有她没有颜色，没有声音”
4001039050080,智代子,『まるであの人自身が、\n失われたその何かであるような気さえしてくる』,“让人感觉仿佛她自身\n正是她所失去的那样东西”
4001039050090,摩美々,なんか別ルート開いたぁ……？,好像开启了别的路线……？
4001039050100,真乃,『その姿を見ると、私はいてもたってもいられずに\n夏の隅々までを徘徊し』,“看见她的模样后，我坐立不安\n徘徊于夏天的各个角落”
4001039050110,摩美々,『何か彼女の心を動かせるものはないかと\n果てのない探索を繰り返すのだった』,“有没有什么能打动她内心的东西呢\n于是我开始了无穷无尽的探索”
4001039050120,霧子,わ……\nアイテム……増えた……,哇……\n道具……增加了……
4001039050130,智代子,『そんな折だった』,“原来是要这个时机啊”
4001039050140,霧子,『海の向こうから、あれが渡ってきたのは』,“当它们从海的那边飞过来”
4001039050150,智代子,わぁ、なんか正解近づいてるっぽい感じ……！,哇，感觉正在接近正确答案……！
4001039050160,真乃,『ヒントありがとうございました\n摩美々ちゃん』,“感谢提示\n摩美美”
4001039050170,真乃,『みんなに助けてもらって、とても助かっています』,“能得到大家帮助，真是太棒了”
4001039050180,真乃,灯織ちゃんとめぐるちゃんに\nずるいって言われちゃうかな……,会不会被灯织和巡\n说狡猾呢……
4001039050190,真乃,ほわ……っ,呼哇……
