id,name,text,trans,__parsed_extra
0000000000000,プロデューサー,────ええ、ええ……,────嗯嗯……,
0000000000000,プロデューサー,ええ、私の判断で…………,嗯，根据我的判断…………,
0000000000000,プロデューサー,はい\n日程はそちらで大丈夫です,好的\n日期就按您说的办,
4001073040010,めぐる,────それでね\n動きが逆のままでずっと合わせてて,────然后呢\n动作一直都是反的，就那样一直练着,
4001073040020,めぐる,真乃とわたしで\nどっちが右か左かわかんなくなっちゃって,我和真乃\n都分不清哪边是左，哪边是右了,
4001073040030,真乃,うん……\n右足なのに、左足だってふたりで……,嗯……\n明明是右脚，却两个人都以为是左脚……,
4001073040040,灯織,ふふっ,呼呼,
4001073040050,灯織,でも、ふたりとも\n本番の動き、すごくよかったと思う,但是，我觉得你们\n正式表演的动作都非常棒,
4001073040060,めぐる,それはね、灯織の動画のおかげ！,那是多亏了灯织的视频！,
4001073040070,灯織,えっ……,诶……,
4001073040080,めぐる,動画がすっごく参考になったから\n真乃と一緒にすぐ修正できたの,因为视频很有参考价值\n所以能和真乃立刻修正过来,
4001073040090,真乃,うん……私もすごく助けてもらったよ\n灯織ちゃんの動画に……,嗯……我也受到了很大的帮助\n多亏了灯织酱的视频……,
4001073040100,灯織,……よかった,……那就好,
0000000000000,プロデューサー,そうですね\n今の彼女たちにとっても────,是啊\n对现在的她们来说────,
0000000000000,プロデューサー,ええ……\n前向きに取り組みたいとのことでしたので,嗯……\n她们都有很积极地去做这件事,
4001073040110,めぐる,灯織のアドバイスのおかげで\n自分でもよくできたなーって思ったんだー,多亏了灯织的建议\n连我自己都觉得做得很棒呢~,
4001073040120,めぐる,一緒に出てたアイドルの人にも\nすごかったねって────,一起演出的偶像也\n说我跳得很棒────,
4001073040130,めぐる,……言われて\nそれで──────,……被夸奖了\n然后──────,
4001073040140,めぐる,…………,…………,
4001073040150,灯織,……？,……？,
4001073040160,真乃,めぐるちゃん……？,巡……？,
4001073040170,めぐる,…………\nなんて言えばよかったのかな,…………\n我应该说什么才好呢,
4001073040171,真乃＆灯織,────……,────……,
0000000000000,プロデューサー,はい、ありがとうございます\n失礼いたします,好的，谢谢\n失陪了,
0000000000000,プロデューサー,──────……,──────……,
0000000000000,白紙の文書,みずからの形を見失い,迷失了自身的形状,
4001073040180,真乃,めぐるちゃん……,巡……,
4001073040190,めぐる,……,……,
4001073040200,めぐる,えへへ……\nごめんね……！,嘿嘿……\n对不起……！,
4001073040210,灯織,共演したグループの人だよね？,是共演的那个组合里的人吧？,
4001073040220,めぐる,──────\n……うん,──────\n……嗯,
4001073040230,めぐる,……わたしたちのこと\n目標にしてくれてたって……,……她说把我们\n当作目标……,
4001073040240,めぐる,ずっとわたしたちみたいに\nなりたいって思ってくれてたみたいで,好像一直都\n以我们为榜样的样子,
4001073040250,めぐる,だけど……だから\n辛くなっちゃったのかな,但是……所以\n才会感到痛苦吗？,
4001073040260,めぐる,なのに、かける言葉が見つからなくて……,可是，我却说不出合适的话……,
4001073040261,真乃＆灯織,…………,…………,
4001073040270,灯織,…………,…………,
4001073040280,灯織,その場にいたら、私も……\nなんて声をかけたらいいか、わからなかったと思う,如果我在场，我……\n也不知道该说什么才好,
4001073040281,真乃＆めぐる,…………,…………,
4001073040290,灯織,……私も──────,……我──────,
0000000000000,白紙の文書,その眩しさで\n身を隠していた影を傷つけ,那耀眼的光芒\n伤害了隐藏着身影的阴影,
4001073040291,真乃＆めぐる,…………,…………,
4001073040300,めぐる,……灯織,……灯织,
4001073040310,灯織,大丈夫\nふたりがこうして聞いてくれるから,没关系\n因为你们俩愿意听我说,
4001073040320,灯織,……その人のために\n良かれと思ってしたことだったけど,……为了她\n我以为我做的是好事,
4001073040330,灯織,相手にとっては\n必要のないことで……,但对她来说\n却是没有必要的事……,
4001073040340,灯織,ううん……必要ない、じゃなくて\nかけたらいけない言葉だったみたいで,不不……不是没有必要，\n而是原本不该说出口的话,
4001073040341,真乃＆めぐる,…………,…………,
4001073040350,真乃,わ、私も……っ,我、我也是……,
4001073040360,灯織,え？,诶？,
4001073040370,真乃,……私もね…………,……我…………,
0000000000000,白紙の文書,影の形がわからない,看不清阴影的形状,
4001073040371,灯織＆めぐる,…………,…………,
4001073040380,真乃,よくないことなんじゃないかなって思ったけど\nでも……その人が困ってることは本当で……,我觉得那样做应该不好\n但是……那个人确实遇到了困难……,
4001073040390,真乃,……何に苦しんでるのか\nわかればいいのになって……,……要是能明白他们在苦恼什么\n就好了……,
4001073040400,真乃,そしたら……私も何か\n声をかけることはできたのかなって……,那样的话……我或许也\n能说些什么吧……,
4001073040410,めぐる,………………,………………,
4001073040420,めぐる,…………難しいな……,…………好难啊……,
0000000000000,白紙の文書,役立たずの光たち,那些无用的光芒,
4001073040421,一同,──────,（巡&灯织&真乃）所以说──────,
