id,name,text,trans,
0,女子生徒の友達１,──そっか……\nそんなメッセ来たんだ……,──是吗……\n收到了这样的消息啊……,
0,女子生徒,うん……\nもういい加減、吹っ切らないとね,嗯……\n差不多也该，彻底放下了,
0,女子生徒の友達２,──……,,
0,女子生徒,────あ……,────啊……,
0,女子生徒,小銭が落ちていた\nあの日みたいに────,有硬币掉在地上\n就像那一天一样────,
0,off,22日目,第22天,
0,女子生徒,他には何聞くの？,你还会听什么？,
0,男子生徒,いろいろ、ニュースとかも聴くし──,很多啊，新闻什么的也都听──,
0,店内に流れるラジオ,──では、道路交通情報です,──接下来，播放的是交通路况新闻,
0,男子生徒,あ……これも好き\n道路交通情報,啊……我也喜欢听这个\n交通路况新闻,
0,女子生徒,えっ……\nや、マニアック過ぎない？,诶……\n不是，这未免太冷门了点吧？,
0,女子生徒＆男子生徒,ふふふっ,哈哈哈,
0,店員,お会計、1100円になります,总共是1100日元,
0,男子生徒,あっ,啊,
0,女子生徒,！,,
0,男子生徒,やべ……,糟了……,
0,女子生徒,あ、拾う,啊，我帮你捡,
0,男子生徒,ごめん,抱歉,
0,女子生徒,──前から思ってたけどさ\n結構ドジだよね,──我早就觉得\n你笨手笨脚的,
0,男子生徒,……！\nいや、そんなことないから！　今のはたまたまだし！,……！\n才，才不是那样的！　刚才只是意外！,
0,女子生徒,えー？\nふふふっ,是吗？\n呵呵呵,
0,女子生徒の友達１,────どうかした？,────怎么了？,
0,女子生徒,……！,,
0,女子生徒,ううん……\nお金、落ちてて,没什么……\n钱掉了,
0,女子生徒,届けてくるね,我去交给店员,
0,女子生徒,あの、これ────,那个，这个────,
4.00108E+12,店内に流れるラジオ,『みなさん『まみちゃ』って知ってますかぁ？』,“大家知道“猫咪聊”吗？”,
4.00108E+12,店内に流れるラジオ,『毎週土曜日放送の『まみみchat』のことなんでー\n知らない人はチェックしてくださぁい』,“每周六播出的“猫咪咪闲聊”，\n不知道的人快去看看哦”,
4.00108E+12,店内に流れるラジオ,『『まみちゃ』ではお便りも募集してまぁす』────,““猫咪聊”也在征集投稿哦”────,
0,店員,──ええと、落とし物ですか？,──嗯，是捡到的东西吗？,
0,女子生徒,……！\nはい、落ちてて,……！\n是的，这个掉在地上了,
0,店員,ああ、ありがとうございますー,啊，谢谢你,
