id,name,text,trans,
0,ラジオの声,『──ああ、あったねえ、こんな企画\n『世界一くだらないダジャレ対決』』,“──啊，居然还有过这种企划啊\n‘世上最无聊的冷笑话大赛’”,
0,ラジオの声,『これマジでくだらなかったなあ』,“这真是太无聊了”,
0,女子生徒,くだらない\nそう笑い飛ばせたら、どんなにいいだろう,如果能笑着说出“真无聊”的话\n那该有多好,
0,女子生徒,ふたりでイヤホンを分けて\nこのラジオを聴いていた時みたいに────,就像那时我们一起分着耳机\n听这个广播一样────,
0,off,14日目,第14天,
0,女子生徒,『ダジャレ対決』だって,“冷笑话大赛”啊,
0,男子生徒,ダジャレかー……,冷笑话啊……,
0,ラジオの声,『えー、じゃあ一発目！\nラジオネーム『八つ橋村』』,“好，那么第一个！\n笔名‘八桥村’”,
0,ラジオの声,『『八つ橋村』の、世界一くだらないダジャレ』────』,“‘八桥村’的，世界上最无聊的冷笑话”────”,
0,ラジオの声,──────,,
0,女子生徒＆男子生徒,あははっ,哈哈哈,
0,女子生徒,あの頃は、何が起きてもおかしくて\n何が起きても幸せだった,那时候，无论发生什么都觉得有趣\n无论发生什么都觉得幸福,
0,ラジオの声,『じゃ、ここで一旦CMでーす』,“那么，接下来是广告时间”,
4.00108E+12,摩美々,『アンティーカの田中摩美々です\n１ヶ月だけパーソナリティーやってまぁす』,“L′Antica的田中摩美美\n这个月将担任主持人”,
4.00108E+12,摩美々,『『田中摩美々のまみみchat』』,““田中摩美美的猫咪咪闲聊””,
0,女子生徒,……,,
0,女子生徒,（やば……塾行かなきゃ）,（糟了……得去补习班了）,
4.00108E+12,摩美々,──『今日は咲耶をゲストに迎えて\nお送りしまぁす』,──“今天请来了咲耶做嘉宾\n来一起主持本次节目”,\n一起主持本次节目
4.00108E+12,摩美々,『なくしものchat』,“关于失物的闲聊”,『关于失物的闲聊』
4.00108E+12,摩美々,咲耶は最近何かなくしたぁ？,咲耶最近有失去过什么东西吗？,
4.00108E+12,咲耶,なくしものか……\nそうだな────,失去过什么东西吗……\n嗯────,
4.00108E+12,咲耶,摩美々との時間、かな,大概是和摩美美一起度过的时间，吧,
4.00108E+12,摩美々,や、そういうのじゃなくてー,哎呀，不是这种啦—,
4.00108E+12,咲耶,フフッ\nでも、本当のことだから,呵呵\n但是，这是真心话哦,
4.00108E+12,咲耶,摩美々がラジオのお仕事をするようになって\n一緒にいられる時間が、少しだけ減ったような気がしてね,自从摩美美开始做电台节目以来\n我们在一起的时间，感觉好像变少了一点,
4.00108E+12,摩美々,……別に、ラジオだけで\nそんなに変わらないでしょー,……只是，主持个电台节目而已\n没那么变得这么夸张吧—,
4.00108E+12,咲耶,たったそれだけでも、摩美々と会えない時間を思うと\n寂しくなってしまうのさ,即使是这样，一想到不能见到摩美美的时候\n还是会觉得很寂寞,
4.00108E+12,咲耶,だから、このラジオで会えるのを\nとても楽しみにしていたんだ,所以，我可是很期待能在这个电台见到你哦,
4.00108E+12,咲耶,今日は摩美々と、思う存分おしゃべりしたいな,今天我呢，想和摩美美尽情聊天,
4.00108E+12,摩美々,まぁ、収録だしー\n咲耶が喋り過ぎてもカットすればいいからぁ,算了，反正是录制—\n要是咲耶说太多也可以剪掉,
4.00108E+12,咲耶,おや、それなら遠慮なく話せそうだ,哦呀，那我就可以毫无保留地开聊了,
4.00108E+12,摩美々,はぁい\nじゃー、お便り読みまぁす,好~\n那么，读来信吧,
4.00108E+12,摩美々,ラジオネーム……\n『お茶の水割り』さん,这位笔名是……\n“喝茶兑水”的听众,
4.00108E+12,摩美々,『私は先日、お気に入りのハンカチを\nなくしてしまいました』,“我前几天弄丢了我最喜欢的手帕”,
4.00108E+12,摩美々,『旅行先の海外で落としてしまったみたいで\nもう探しようもありません』,“好像是在外国旅游的时候丢的\n现在已经找不到了”,
4.00108E+12,摩美々,『ハンカチくらいって思われるかもしれないんですけど\n気に入っていたものだったので、とても悲しいです』──,“虽然只是张手帕而已\n但因为这是我喜欢的东西，所以现在非常难过”──,
0,塾の講師,えー、これも仮定法の慣用表現ですね\n『もし～がなければ』『もしあの時～がなかったら』と──,那—，这个也是虚拟语气的惯用表达\n“如果没有～的话”“如果那时没有～就好了”──,
0,女子生徒,あれ以来、彼は塾に来ていない,从那以后，他就没来过补习班,
0,女子生徒,何がいけなかったんだろう\nどうすれば、なくさずに済んだんだろう,到底是哪里出了问题\n要怎么做才能不失去他,
0,女子生徒,考えれば考えるほど\n何もかもが、よくなかった気がしてくる,越是思考\n就越觉得，一切都不对劲,
4.00108E+12,咲耶,なるほど\n思い入れのある物だったんですね,原来如此\n那是对你很重要的东西呢,
0,リスナー２,『はい……』,“是的……”,
4.00108E+12,咲耶,…………,,
4.00108E+12,咲耶,なくしたものが、もう戻ってこないとしても……\nそれだけ大事なものがあったということは────,即使失去的东西，再也回不来了……\n但也证明你曾拥有过如此重要的东西────,
4.00108E+12,咲耶,それは……\n幸せなことだったんじゃないかと……──,那难道……\n不也是一件幸福的事吗……──,
4.00108E+12,咲耶,こんなことしか言えず、申し訳ないですが……,我只能这么说了，真是抱歉……,
0,リスナー２,『いえ、そんな……ありがとうございます\nそんなふうに言ってくれる人、周りにいなかったので……』,“不，不用道歉……谢谢你\n周围没有人会这么对我说……”,
4.00108E+12,咲耶,……\nまた、そう思えるものと巡り合えるといいですね,……\n希望，你能再次遇见能承载此般心念的事物\n,\n希望，你能再次遇见能承载此般心念的事物
0,女子高生１,てかもう連絡とかしてくんなと思ってー\nハッキリ言ったの、電話して,我已经跟他说不要再联系\n在电话里说得很明确了,
0,女子高生２,もうやめてって、ヨリ戻す気ないって\nそしたら泣き出しちゃってさー,我说已经不想再和他复合了\n结果他就哭了,
0,女子高生１,まじー？,真的吗？,
