id,name,text,trans,
0,ラジオの声,『──もう10月だって、みんな。まだ暑くない？\n俺だけ？　なんか最近さ、秋がなくなった気がしてて』,“──已经到10月啦各位，大家觉得还热吗？\n还是只有我这么想？不知道为啥最近，感觉好像秋天已经过去了一样”,
0,ラジオの声,『いや、あるんだろうけど短くなったっていうかね\nあちーあちー言ってたらもう11月とか12月とかなって』,“不，肯定还是在秋天的，只不过变短了而已\n一边叫着热死了热死了，不知不觉就到11月12月了”,
0,ラジオの声,『昔はもっとあったよねえ、秋\n秋がちゃんとあった時代に戻りたいなあ──』,“以前的秋天明显长多了\n真想回到那个明显有秋天氛围的时代啊──”,
0,女子生徒,ラジオはこれしか聴かない\n彼も、好きだった番組,我只听这个台\n他也，喜欢这个节目,
0,女子生徒,幸せだったあの頃,真幸福啊那个时候,
0,女子生徒,一緒にいられるだけで幸せだったあの日々は\nもう戻ってこない,仅仅是两个人待在一起就觉得幸福的日子\n再也回不去咯,
0,off,これは────,这是关于────,
0,off,なくしたものたちの\n物語,永不复返之物\n的故事,
4.00108E+12,摩美々,田中摩美々が、ゲストやリスナーと\nだらだらおしゃべりしまぁす,由我田中摩美美来主持，\n和各位嘉宾各位听众悠哉聊天的,
4.00108E+12,摩美々,『田中摩美々のまみみchat』,“田中摩美美的猫咪咪闲聊”,
4.00108E+12,摩美々,というわけで、今日から１ヶ月間\nラジオのパーソナリティーをやることになったんですケドー,所以总而言之，从今天开始的一个月里\n我就要担任广播电台的主持人啦,
4.00108E+12,摩美々,ひとりでしゃべるのは大変なんでー\n毎回ゲストに来てもらいまぁす,但是一个人说话很辛苦嘛ー\n所以每回都会请嘉宾哟,
0,プロデューサー,放送は毎週土曜日の夜、計５回\n最終回のみ生放送で、それ以外は収録になる,节目在每个星期六的晚上播出，一共5期\n最后一期是直播，其他都是录播,
0,プロデューサー,みんなにもひとりずつゲストとして出演してもらって、\n摩美々とトークをしてもらう予定だ,大家也预定会作为嘉宾分别出席，\n和摩美美一起聊天主持,
0,プロデューサー,摩美々とのおしゃべりが、聴いてくれる人たちの\n心に残るような番組にしたい、とのことだ,希望通过大家和摩美美的聊天内容，让听众们\n留下深刻的印象——的这么一个节目,
4.00108E+12,恋鐘,素敵な企画～\n楽しそうやね～！,好棒的企划～\n好期待啊～！,
4.00108E+12,咲耶,ああ。お仕事で摩美々とふたりきりの時を\n過ごせるなんて、願ってもないオファーだね,对啊。在工作的时候也可以和摩美美单独相处\n能这么度过，还真是个求之不得的工作啊,
4.00108E+12,結華,ねー！\nご褒美みたいなお仕事！,对啊！\n这个工作简直是奖励一样的！,
4.00108E+12,霧子,ふふ……\n楽しみ……,呵呵……\n好期待……,
4.00108E+12,摩美々,まぁ、みんなが来るなら\n進行は任せるんでー,就这样，大家都会来的话\n主持就交给你们咯—,
4.00108E+12,摩美々,──今回のゲストはこの方ですー,──这次的嘉宾是这位—,
4.00108E+12,恋鐘,アンティーカの月岡恋鐘ばい～！\nよろしくお願いします～！,咱是L′Antica的月冈恋钟哦～！\n请多多指教～！,
4.00108E+12,摩美々,恋鐘、なんか張り切ってるみたいなんでー\nお便り、全部読んでもらおうかなぁ,恋钟，好像很有干劲的样子嘛ー\n来信，全部都读一遍怎么样,
4.00108E+12,恋鐘,ふぇ……？\nそいは摩美々が読む予定やろ～？,诶……？\n那是摩美美要读的吧～？,
4.00108E+12,摩美々,ふふー\nそうだったっけー？,呵呵ー\n是吗～？,
4.00108E+12,摩美々,じゃー、メインコーナーいってみまぁす,那，我们开始主要环节吧,
4.00108E+12,摩美々,『なくしものchat』,“关于失物的闲聊”,『关于失物的闲聊』
4.00108E+12,摩美々,このコーナーでは、リスナーから事前に\n『なくしもの』というテーマでお便りを募集してー,在这个环节里，我们事先向听众征集\n以“失物”为主题的来信,\n以『失物』为主题的来信
4.00108E+12,摩美々,お便りをくれたリスナーに\n電話で詳しい話を聞いていきまぁす,然后向写信的听众\n打电话详细了解一下情况,
4.00108E+12,恋鐘,『なくしもの』……なんかなくした～、とか\nなくしたもんが見つからん～、ってこと？,“失物”……是说丢了什么，之类的\n或者是已经找不到，的东西吗？,『失物』……是说丢了什么……（略）
4.00108E+12,摩美々,まぁ、そんな感じー,就，差不多那样吧,
4.00108E+12,摩美々,恋鐘は最近、なくしものとかしたぁ？,恋钟最近，有丢过东西吗？,
4.00108E+12,恋鐘,うちはシュシュばなくしてしもうたばい……\nお仕事行く途中に──,咱之前弄把发圈弄丢过哦……\n在去工作的路上──,
